QueryKey;geocoder_status;place_id;types
3552205 SOROCABA 2020-06-12 12:02:17 NS;OK;ChIJcULsJKOKxZQRMEl-8CXbeiA;street_address
3552205 SOROCABA 2020-06-12 12:02:17 NS;OK;ChIJSaoAOUKKxZQRpxUVLHR_1YE;street_address
3118601 CONTAGEM 2020-06-12 12:02:18 EW;OK;ChIJcaDXI9CVpgARRpupsftruCM;premise
3118601 CONTAGEM 2020-06-12 12:02:18 EW;OK;ChIJ9dt3iTWVpgAR4z7IQ8Ln1eg;street_address
3118601 CONTAGEM 2020-06-12 12:02:18 EW;OK;ChIJ_R9w84HqpgARNgbGZkE2H6E;street_address
3118601 CONTAGEM 2020-06-12 12:02:19 NS;OK;ChIJMWTG4pqTpgARKAy2-qrFlsQ;route
3118601 CONTAGEM 2020-06-12 12:02:19 NS;OK;ChIJ9dt3iTWVpgAR4z7IQ8Ln1eg;street_address
3118601 CONTAGEM 2020-06-12 12:02:19 NS;OK;ChIJ73QNkUK-pgAR3t69-HrCLvU;street_address
2800308 ARACAJU 2020-06-12 12:02:22 EW;OK;ChIJ0_uWw4azGgcRW_D0Fy0tclU;street_address
2800308 ARACAJU 2020-06-12 12:02:22 EW;OK;ChIJjW0Jh3qzGgcRsTnkrm3X06Q;street_address
2800308 ARACAJU 2020-06-12 12:02:22 EW;OK;ChIJgQPzBvOyGgcRBy91vQmwi7k;street_address
2800308 ARACAJU 2020-06-12 12:02:24 NS;OK;ChIJD51bO9NMBQcRiwHb8DDEaNs;street_address
